Year,Circuit,SessionType,Driver,Team,LapNumber,Stint,Compound,TyreLife,FreshTyre,TrackStatus,Position,LapTimeSeconds
2021,Bahrain,Race,VER,Red Bull Racing,14.0,1.0,MEDIUM,17.0,False,1,1.0,96.88
2021,Bahrain,Race,VER,Red Bull Racing,15.0,1.0,MEDIUM,18.0,False,1,1.0,96.924
2021,Bahrain,Race,VER,Red Bull Racing,16.0,1.0,MEDIUM,19.0,False,1,1.0,97.033
2021,Bahrain,Race,VER,Red Bull Racing,19.0,2.0,MEDIUM,2.0,True,1,2.0,94.421
2021,Bahrain,Race,VER,Red Bull Racing,20.0,2.0,MEDIUM,3.0,True,1,2.0,94.87
2021,Bahrain,Race,VER,Red Bull Racing,21.0,2.0,MEDIUM,4.0,True,1,2.0,94.829
2021,Bahrain,Race,VER,Red Bull Racing,22.0,2.0,MEDIUM,5.0,True,1,2.0,95.159
2021,Bahrain,Race,VER,Red Bull Racing,23.0,2.0,MEDIUM,6.0,True,1,2.0,95.122
2021,Bahrain,Race,VER,Red Bull Racing,24.0,2.0,MEDIUM,7.0,True,1,2.0,95.207
2021,Bahrain,Race,VER,Red Bull Racing,25.0,2.0,MEDIUM,8.0,True,1,2.0,95.044
2021,Bahrain,Race,VER,Red Bull Racing,26.0,2.0,MEDIUM,9.0,True,1,2.0,94.958
2021,Bahrain,Race,VER,Red Bull Racing,27.0,2.0,MEDIUM,10.0,True,1,2.0,95.118
2021,Bahrain,Race,VER,Red Bull Racing,28.0,2.0,MEDIUM,11.0,True,1,1.0,95.126
2021,Bahrain,Race,VER,Red Bull Racing,29.0,2.0,MEDIUM,12.0,True,1,1.0,95.282
2021,Bahrain,Race,VER,Red Bull Racing,30.0,2.0,MEDIUM,13.0,True,1,1.0,95.476
2021,Bahrain,Race,VER,Red Bull Racing,31.0,2.0,MEDIUM,14.0,True,1,1.0,95.054
2021,Bahrain,Race,VER,Red Bull Racing,32.0,2.0,MEDIUM,15.0,True,1,1.0,95.378
2021,Bahrain,Race,VER,Red Bull Racing,33.0,2.0,MEDIUM,16.0,True,1,1.0,95.286
2021,Bahrain,Race,VER,Red Bull Racing,34.0,2.0,MEDIUM,17.0,True,1,1.0,95.638
2021,Bahrain,Race,VER,Red Bull Racing,35.0,2.0,MEDIUM,18.0,True,1,1.0,95.593
2021,Bahrain,Race,VER,Red Bull Racing,36.0,2.0,MEDIUM,19.0,True,1,1.0,95.721
2021,Bahrain,Race,VER,Red Bull Racing,37.0,2.0,MEDIUM,20.0,True,1,1.0,95.62
2021,Bahrain,Race,VER,Red Bull Racing,38.0,2.0,MEDIUM,21.0,True,1,1.0,95.921
2021,Bahrain,Race,VER,Red Bull Racing,41.0,3.0,HARD,2.0,True,1,2.0,93.228
2021,Bahrain,Race,VER,Red Bull Racing,42.0,3.0,HARD,3.0,True,1,2.0,93.45
2021,Bahrain,Race,VER,Red Bull Racing,43.0,3.0,HARD,4.0,True,1,2.0,93.231
2021,Bahrain,Race,VER,Red Bull Racing,45.0,3.0,HARD,6.0,True,1,2.0,94.056
2021,Bahrain,Race,VER,Red Bull Racing,46.0,3.0,HARD,7.0,True,1,2.0,93.894
2021,Bahrain,Race,VER,Red Bull Racing,47.0,3.0,HARD,8.0,True,1,2.0,94.092
2021,Bahrain,Race,VER,Red Bull Racing,48.0,3.0,HARD,9.0,True,1,2.0,93.818
2021,Bahrain,Race,VER,Red Bull Racing,49.0,3.0,HARD,10.0,True,1,2.0,93.576
2021,Bahrain,Race,VER,Red Bull Racing,50.0,3.0,HARD,11.0,True,1,2.0,93.893
2021,Bahrain,Race,VER,Red Bull Racing,51.0,3.0,HARD,12.0,True,1,2.0,93.964
2021,Bahrain,Race,VER,Red Bull Racing,52.0,3.0,HARD,13.0,True,1,2.0,94.669
2021,Bahrain,Race,VER,Red Bull Racing,53.0,3.0,HARD,14.0,True,1,2.0,96.413
2021,Bahrain,Race,VER,Red Bull Racing,54.0,3.0,HARD,15.0,True,1,2.0,95.073
2021,Bahrain,Race,VER,Red Bull Racing,55.0,3.0,HARD,16.0,True,1,2.0,94.565
2021,Bahrain,Race,VER,Red Bull Racing,56.0,3.0,HARD,17.0,True,1,2.0,94.727
2021,Bahrain,Race,BOT,Mercedes,6.0,1.0,MEDIUM,9.0,False,1,3.0,97.109
2021,Bahrain,Race,BOT,Mercedes,7.0,1.0,MEDIUM,10.0,False,1,3.0,96.355
2021,Bahrain,Race,BOT,Mercedes,8.0,1.0,MEDIUM,11.0,False,1,3.0,96.022
2021,Bahrain,Race,BOT,Mercedes,9.0,1.0,MEDIUM,12.0,False,1,3.0,97.086
2021,Bahrain,Race,BOT,Mercedes,10.0,1.0,MEDIUM,13.0,False,1,3.0,96.405
2021,Bahrain,Race,BOT,Mercedes,11.0,1.0,MEDIUM,14.0,False,1,3.0,96.384
2021,Bahrain,Race,BOT,Mercedes,12.0,1.0,MEDIUM,15.0,False,1,3.0,96.46
2021,Bahrain,Race,BOT,Mercedes,13.0,1.0,MEDIUM,16.0,False,1,3.0,96.423
2021,Bahrain,Race,BOT,Mercedes,14.0,1.0,MEDIUM,17.0,False,1,2.0,96.736
2021,Bahrain,Race,BOT,Mercedes,15.0,1.0,MEDIUM,18.0,False,1,2.0,96.583
2021,Bahrain,Race,BOT,Mercedes,18.0,2.0,HARD,2.0,True,1,3.0,95.038
2021,Bahrain,Race,BOT,Mercedes,19.0,2.0,HARD,3.0,True,1,3.0,94.518
2021,Bahrain,Race,BOT,Mercedes,20.0,2.0,HARD,4.0,True,1,3.0,94.774
2021,Bahrain,Race,BOT,Mercedes,21.0,2.0,HARD,5.0,True,1,3.0,95.098
2021,Bahrain,Race,BOT,Mercedes,22.0,2.0,HARD,6.0,True,1,3.0,95.077
2021,Bahrain,Race,BOT,Mercedes,23.0,2.0,HARD,7.0,True,1,3.0,95.092
2021,Bahrain,Race,BOT,Mercedes,24.0,2.0,HARD,8.0,True,1,3.0,95.193
2021,Bahrain,Race,BOT,Mercedes,25.0,2.0,HARD,9.0,True,1,3.0,95.022
2021,Bahrain,Race,BOT,Mercedes,26.0,2.0,HARD,10.0,True,1,3.0,95.308
2021,Bahrain,Race,BOT,Mercedes,27.0,2.0,HARD,11.0,True,1,3.0,95.469
2021,Bahrain,Race,BOT,Mercedes,28.0,2.0,HARD,12.0,True,1,3.0,95.376
2021,Bahrain,Race,BOT,Mercedes,29.0,2.0,HARD,13.0,True,1,2.0,95.915
2021,Bahrain,Race,BOT,Mercedes,32.0,3.0,HARD,2.0,True,1,4.0,95.12
2021,Bahrain,Race,BOT,Mercedes,33.0,3.0,HARD,3.0,True,1,4.0,94.457
2021,Bahrain,Race,BOT,Mercedes,34.0,3.0,HARD,4.0,True,1,3.0,94.472
2021,Bahrain,Race,BOT,Mercedes,35.0,3.0,HARD,5.0,True,1,3.0,94.4
2021,Bahrain,Race,BOT,Mercedes,36.0,3.0,HARD,6.0,True,1,3.0,94.461
2021,Bahrain,Race,BOT,Mercedes,37.0,3.0,HARD,7.0,True,1,3.0,94.399
2021,Bahrain,Race,BOT,Mercedes,38.0,3.0,HARD,8.0,True,1,3.0,94.418
